"","home_team_long_name","league_name","home_team_short_name","home_team_api_id","variable","value"
"208","RCD Mallorca","Spain LIGA BBVA","MAL",8661,"Overall",788.276218481811
"209","Real Sociedad","Spain LIGA BBVA","SOC",8560,"Overall",819.557263628471
"210","RC Celta de Vigo","Spain LIGA BBVA","CEL",9910,"Overall",785.891409790461
"211","Levante UD","Spain LIGA BBVA","LEV",8581,"Overall",795.915796003756
"212","FC Barcelona","Spain LIGA BBVA","BAR",8634,"Overall",911.275194703743
"213","RCD Espanyol","Spain LIGA BBVA","ESP",8558,"Overall",796.933261495986
"214","Atlético Madrid","Spain LIGA BBVA","AMA",9906,"Overall",874.901927415674
"215","Málaga CF","Spain LIGA BBVA","MAL",9864,"Overall",840.463070534272
"216","Getafe CF","Spain LIGA BBVA","GET",8305,"Overall",810.596746683418
"217","RC Deportivo de La Coruña","Spain LIGA BBVA","COR",9783,"Overall",815.929135861419
"218","Sevilla FC","Spain LIGA BBVA","SEV",8302,"Overall",847.389885010535
"219","Real Zaragoza","Spain LIGA BBVA","ZAR",8394,"Overall",790.143957893958
"220","Valencia CF","Spain LIGA BBVA","VAL",10267,"Overall",854.179082840848
"221","Real Madrid CF","Spain LIGA BBVA","REA",8633,"Overall",900.124110186589
"222","Athletic Club de Bilbao","Spain LIGA BBVA","BIL",8315,"Overall",839.741030148013
"223","Real Betis Balompié","Spain LIGA BBVA","BET",8603,"Overall",794.588055941504
"224","Granada CF","Spain LIGA BBVA","GRA",7878,"Overall",795.596127918839
"225","CA Osasuna","Spain LIGA BBVA","OSA",8371,"Overall",781.572262177182
"226","Rayo Vallecano","Spain LIGA BBVA","RAY",8370,"Overall",790.491059664973
"227","Sevilla FC","Spain LIGA BBVA","SEV",8302,"Overall",852.787779747377
"228","FC Barcelona","Spain LIGA BBVA","BAR",8634,"Overall",919.365190688941
"229","Málaga CF","Spain LIGA BBVA","MAL",9864,"Overall",844.782355336315
"230","Real Betis Balompié","Spain LIGA BBVA","BET",8603,"Overall",805.613632478632
"231","Levante UD","Spain LIGA BBVA","LEV",8581,"Overall",812.648703345493
"232","RC Deportivo de La Coruña","Spain LIGA BBVA","COR",9783,"Overall",803.375029255253
"233","Real Madrid CF","Spain LIGA BBVA","REA",8633,"Overall",883.030601301877
"234","Real Zaragoza","Spain LIGA BBVA","ZAR",8394,"Overall",794.49932311697
"235","Real Valladolid","Spain LIGA BBVA","VAL",10281,"Overall",787.290886123924
"236","RCD Mallorca","Spain LIGA BBVA","MAL",8661,"Overall",802.436239334337
"237","RC Celta de Vigo","Spain LIGA BBVA","CEL",9910,"Overall",781.855329691223
"238","Atlético Madrid","Spain LIGA BBVA","AMA",9906,"Overall",868.065368005585
"239","RCD Espanyol","Spain LIGA BBVA","ESP",8558,"Overall",793.269453134585
"240","Valencia CF","Spain LIGA BBVA","VAL",10267,"Overall",851.211422614364
"241","Real Sociedad","Spain LIGA BBVA","SOC",8560,"Overall",821.312982582719
"242","Granada CF","Spain LIGA BBVA","GRA",7878,"Overall",795.077659360787
"243","Athletic Club de Bilbao","Spain LIGA BBVA","BIL",8315,"Overall",830.232840492841
"244","Getafe CF","Spain LIGA BBVA","GET",8305,"Overall",809.902599874389
"245","RCD Mallorca","Spain LIGA BBVA","MAL",8661,"Overall",786.617803979646
"246","RC Deportivo de La Coruña","Spain LIGA BBVA","COR",9783,"Overall",808.493200938642
"247","Atlético Madrid","Spain LIGA BBVA","AMA",9906,"Overall",877.85252030105
"248","CA Osasuna","Spain LIGA BBVA","OSA",8371,"Overall",779.900878297903
"249","Getafe CF","Spain LIGA BBVA","GET",8305,"Overall",810.044509787187
"250","Real Madrid CF","Spain LIGA BBVA","REA",8633,"Overall",920.269495864487
"251","RC Celta de Vigo","Spain LIGA BBVA","CEL",9910,"Overall",770.380461966355
"252","Sevilla FC","Spain LIGA BBVA","SEV",8302,"Overall",844.201229017406
"253","Real Sociedad","Spain LIGA BBVA","SOC",8560,"Overall",814.022220406088
"254","Granada CF","Spain LIGA BBVA","GRA",7878,"Overall",790.811054891648
"255","Athletic Club de Bilbao","Spain LIGA BBVA","BIL",8315,"Overall",834.307862131819
"256","Valencia CF","Spain LIGA BBVA","VAL",10267,"Overall",842.982282664838
"257","Rayo Vallecano","Spain LIGA BBVA","RAY",8370,"Overall",804.164624258274
"258","Real Betis Balompié","Spain LIGA BBVA","BET",8603,"Overall",807.802918192918
"259","Eintracht Frankfurt","Germany 1. Bundesliga","EFR",9810,"Overall",801.436989915754
"260","Borussia Mönchengladbach","Germany 1. Bundesliga","GLA",9788,"Overall",809.830437135328
"261","Bayer 04 Leverkusen","Germany 1. Bundesliga","LEV",8178,"Overall",834.872555203505
"262","SV Werder Bremen","Germany 1. Bundesliga","WBR",8697,"Overall",813.433696715116
"263","Fortuna Düsseldorf","Germany 1. Bundesliga","FDU",8194,"Overall",755.021385540594
"264","Hamburger SV","Germany 1. Bundesliga","HAM",9790,"Overall",823.210335103941
