"","league_name","home_team_api_id","home_team_short_name","home_team_long_name","Overall","Potential","Stamina","Agility","Aggression"
"183","Germany 1. Bundesliga",8721,"WOL","VfL Wolfsburg",836.070020724131,871.932695649144,771.129503201651,715.047976132932,763.707894449852
"184","Germany 1. Bundesliga",9789,"DOR","Borussia Dortmund",871.623250290015,920.170086721557,789.307340562488,771.509041465071,740.047421023965
"185","Germany 1. Bundesliga",9788,"GLA","Borussia Mönchengladbach",810.484367350742,861.524987810226,747.058195970696,746.034528077112,700.846981559815
"186","Germany 1. Bundesliga",9810,"EFR","Eintracht Frankfurt",798.344446056105,846.851826246472,788.682637856677,739.930375408979,684.55180934499
"187","Germany 1. Bundesliga",9823,"BMU","FC Bayern Munich",910.490328881734,942.309966512527,813.750135581119,762.146431332359,714.225437092488
"188","Germany 1. Bundesliga",9904,"HAN","Hannover 96",810.978601183601,842.902168322168,724.053691493692,718.14549016049,705.016247236247
"189","Germany 1. Bundesliga",9790,"HAM","Hamburger SV",831.740574755357,874.840277308272,774.835887246616,729.293570803515,709.363747257885
"190","Germany 1. Bundesliga",9905,"MAI","1. FSV Mainz 05",795.593836222022,824.299124589568,776.535283438187,686.908854957766,755.020369388676
"191","Germany 1. Bundesliga",10189,"S04","FC Schalke 04",841.577229218777,880.972788216985,808.93353149825,750.110079812098,699.445387189206
"192","Germany 1. Bundesliga",9790,"HAM","Hamburger SV",828.827001770608,875.50365421459,782.020691168185,762.301185182599,710.528093663114
"193","Germany 1. Bundesliga",8226,"HOF","TSG 1899 Hoffenheim",816.297587756226,856.273722753827,779.769853501026,753.1010550287,707.58042587882
"194","Germany 1. Bundesliga",9904,"HAN","Hannover 96",812.097551152551,849.667011137011,725.29855995856,736.633808598809,669.30871017871
"195","Germany 1. Bundesliga",8406,"AUG","FC Augsburg",763.099543512044,808.579576534577,770.14713980464,711.202456432457,702.976194916195
"196","Germany 1. Bundesliga",8178,"LEV","Bayer 04 Leverkusen",842.201893875585,893.18505415652,815.523372118751,715.457947020596,745.418678341772
"197","Germany 1. Bundesliga",9789,"DOR","Borussia Dortmund",874.609559813824,915.849551007272,774.844840562488,788.088208131737,707.922123404918
"198","Germany 1. Bundesliga",8697,"WBR","SV Werder Bremen",806.171827514984,849.885934794738,772.383512117267,751.525076093817,699.506079135874
"199","Germany 1. Bundesliga",8165,"NUR","1. FC Nürnberg",795.894318857797,833.414698311872,741.390186789317,674.353799518147,738.489429074647
"200","Germany 1. Bundesliga",8357,"GRF","SpVgg Greuther Fürth",748.838560197026,813.971696910648,763.250822203277,713.088001190814,661.435038498491
"201","Germany 1. Bundesliga",9788,"GLA","Borussia Mönchengladbach",811.999966758347,851.048899382525,752.941825664985,705.0999269139,724.794990073041
"202","Germany 1. Bundesliga",8194,"FDU","Fortuna Düsseldorf",765.487692400449,799.949777569914,771.844507053949,695.751084990038,737.957361903951
